Number of queries 	Duration since launch	Lock time
1	5393	1.0
2	10824	15.5
3	15856	11.666666666666666
4	20862	12.25
5	25879	11.0
6	30888	9.5
7	35892	9.142857142857142
8	40901	9.5
9	45916	11.666666666666666
10	50947	14.0
11	55984	13.181818181818182
12	60991	13.583333333333334
13	66011	13.0
14	71019	12.642857142857142
15	76029	12.133333333333333
16	89003	11.5
17	94007	11.647058823529411
18	99023	11.833333333333334
19	104040	12.31578947368421
20	109063	12.35
21	114079	131.28571428571428
22	121591	126.31818181818181
23	126615	121.08695652173913
24	131622	116.33333333333333
25	136631	111.92
26	156745	108.15384615384616
27	161761	105.07407407407408
28	166788	102.78571428571429
29	171831	99.44827586206897
30	176839	96.36666666666666
31	187140	93.83870967741936
32	192160	91.21875
33	197171	88.63636363636364
34	202179	86.11764705882354
35	207184	84.4
36	222721	82.11111111111111
37	227726	80.1891891891892
38	232739	78.26315789473684
39	237749	76.56410256410257
40	242763	285.45
41	256197	278.9756097560976
42	281990	272.4047619047619
43	286995	266.51162790697674
44	292016	260.6363636363636
45	297026	254.93333333333334
46	302618	249.56521739130434
47	307628	244.53191489361703
48	312643	239.72916666666666
49	317659	235.16326530612244
50	325643	230.5
51	330648	226.1764705882353
52	335660	221.8653846153846
53	340664	217.9811320754717
54	352904	214.27777777777777
55	357924	210.5818181818182
56	362937	207.10714285714286
57	367955	203.71929824561403
58	380140	200.25862068965517
59	385145	196.9322033898305
60	390151	193.76666666666668
61	395160	190.8360655737705
62	405304	187.79032258064515
63	410308	185.015873015873
64	415324	182.625
65	420358	180.30769230769232
66	456299	177.6060606060606
67	461303	175.52238805970148
68	466343	173.16176470588235
69	471361	170.85507246376812
70	476377	168.64285714285714
71	481395	166.5211267605634
72	486416	164.30555555555554
73	491425	162.17808219178082
74	496436	160.1216216216216
75	506785	158.14666666666668
76	511799	156.21052631578948
77	516813	154.4935064935065
78	521839	465.35897435897436
79	551243	459.59493670886076
80	557141	453.875
81	562145	448.2962962962963
82	567149	442.9268292682927
83	572159	437.67469879518075
84	577168	432.5238095238095
85	620064	427.45882352941175
86	625069	422.5813953488372
87	630079	418.0689655172414
88	635111	413.53409090909093
89	641395	409.0449438202247
90	646411	404.5888888888889
91	651421	400.27472527472526
92	656435	395.9782608695652
93	666807	391.73118279569894
94	671810	387.6489361702128
95	676821	383.6421052631579
96	681831	379.96875
97	694196	376.10309278350513
98	699203	372.5408163265306
99	704232	368.989898989899
100	709255	365.36
101	721777	361.7821782178218
102	726783	358.51960784313724
103	731814	355.15533980582524
104	736828	351.8173076923077
105	747557	348.56190476190477
106	752569	345.4339622641509
107	757588	342.30841121495325
108	762601	339.2037037037037
109	773338	336.3394495412844
110	778367	333.3363636363636
111	783375	330.35135135135135
112	788379	327.41964285714283
113	793384	324.5575221238938
114	799842	321.8070175438597
115	804855	319.30434782608694
116	809892	316.5603448275862
117	814896	313.88034188034186
118	819901	311.3305084745763
119	826451	308.7647058823529
120	831459	306.2583333333333
121	836469	303.78512396694214
122	841478	301.4590163934426
123	846500	299.1219512195122
124	898071	296.8467741935484
125	903091	294.512
126	908099	292.22222222222223
127	913107	290.0
128	918119	287.78125
129	923127	285.5658914728682
130	928131	283.4153846153846
131	933139	281.2748091603053
132	938144	279.25
133	943160	277.2481203007519
134	951960	275.1940298507463
135	956965	273.27407407407406
136	961983	271.3235294117647
137	966993	269.45255474452557
138	972011	267.57971014492756
139	981071	265.68345323741005
140	986077	263.92857142857144
141	991099	262.07801418439715
142	996104	260.2676056338028
143	1001111	258.5874125874126
144	1011690	256.9861111111111
145	1016720	255.3310344827586
146	1021739	253.5958904109589
147	1026743	251.91156462585033
148	1031751	250.41216216216216
149	1042759	248.83221476510067
150	1047776	247.29333333333332
151	1052796	245.79470198675497
152	1057819	244.22368421052633
153	1062828	242.640522875817
154	1074390	241.16883116883116
155	1079408	239.69677419354838
156	1084423	604.1794871794872
157	1146524	600.4394904458599
158	1232407	596.6518987341772
159	1237411	592.9182389937107
160	1242417	589.2875
161	1247431	585.8385093167702
162	1252468	582.3271604938271
163	1259733	578.7730061349694
164	1264738	575.4573170731708
165	1269775	572.0909090909091
166	1274797	568.7048192771084
167	1279810	565.5329341317365
168	1289392	562.1964285714286
169	1294399	558.9940828402367
170	1299423	555.8117647058823
171	1304443	552.6900584795321
172	1309467	549.4883720930233
173	1321540	546.3468208092486
174	1326548	543.3045977011494
175	1331567	540.2285714285714
176	1336574	537.1761363636364
177	1341579	534.1864406779661
178	1417719	531.1966292134831
179	1422723	528.2402234636871
180	1427727	525.3611111111111
181	1432740	522.5469613259669
182	1437759	519.7307692307693
183	1540733	516.9016393442623
184	1545737	514.1358695652174
185	1550747	511.4972972972973
186	1555775	508.8010752688172
187	1560788	506.14973262032083
188	1624132	503.468085106383
189	1629136	500.8253968253968
190	1634142	498.2263157894737
191	1639151	495.6387434554974
192	1644157	493.2864583333333
193	1708621	490.75129533678756
194	1713627	488.22680412371136
195	1718630	485.74871794871797
196	1723637	483.2959183673469
197	1793536	480.8680203045685
198	1798543	478.550505050505
199	1803568	476.1758793969849
200	1808576	473.845
201	1883200	471.5074626865672
202	1888206	469.2079207920792
203	1893215	466.9655172413793
204	1898231	464.69117647058823
205	1968733	462.5073170731707
206	1973752	460.29611650485435
207	1978761	458.1304347826087
208	1983775	455.96153846153845
