Number of queries 	Duration since launch	Lock time
1	5390	5.0
2	10625	4.5
3	15631	3.6666666666666665
4	20635	5.5
5	25648	6.0
6	30659	5.666666666666667
7	35665	5.142857142857143
8	40670	4.875
9	45675	4.888888888888889
10	50682	6.2
11	55703	30.363636363636363
12	60978	27.916666666666668
13	65981	26.076923076923077
14	70987	24.428571428571427
15	75992	23.333333333333332
16	91675	21.9375
17	96678	21.058823529411764
18	101687	20.0
19	106692	19.157894736842106
20	111698	18.75
21	116711	135.52380952380952
22	124185	129.5909090909091
23	129192	124.08695652173913
24	134197	119.08333333333333
25	139203	114.52
26	144211	110.1923076923077
27	160497	106.18518518518519
28	165501	102.42857142857143
29	170504	99.06896551724138
30	175511	95.96666666666667
31	180519	92.96774193548387
32	188745	90.8125
33	193771	88.15151515151516
34	198776	85.82352941176471
35	203787	83.54285714285714
36	208796	82.38888888888889
37	220610	80.27027027027027
38	225616	78.26315789473684
39	230622	76.35897435897436
40	235628	74.55
41	240635	285.0487804878049
42	254342	278.3333333333333
43	280809	271.93023255813955
44	285814	265.8181818181818
45	290819	259.97777777777776
46	295825	254.41304347826087
47	302017	249.06382978723406
48	307022	243.9375
49	312027	239.0204081632653
50	317032	234.32
51	325092	229.76470588235293
52	330097	225.48076923076923
53	335107	221.28301886792454
54	340112	217.27777777777777
55	352261	213.36363636363637
56	357265	209.67857142857142
57	362275	206.0701754385965
58	367282	202.55172413793105
59	380294	199.16949152542372
60	385300	196.06666666666666
61	390315	192.91803278688525
62	395321	190.16129032258064
63	408628	187.20634920634922
64	413635	184.34375
65	418642	181.53846153846155
66	423646	178.8181818181818
67	460059	176.17910447761193
68	465063	173.63235294117646
69	470068	171.15942028985506
70	475073	168.77142857142857
71	480080	166.43661971830986
72	485086	164.16666666666666
73	490091	161.97260273972603
74	495097	159.94594594594594
75	500111	157.84
76	509042	155.81578947368422
77	514048	153.83116883116884
78	519053	151.94871794871796
79	524063	464.45569620253167
80	557269	458.6625
81	562273	453.0246913580247
82	567277	447.5243902439024
83	572281	442.1807228915663
84	577287	436.95238095238096
85	622895	431.84705882352944
86	627900	426.8953488372093
87	632908	422.0344827586207
88	638423	417.2613636363636
89	643427	412.60674157303373
90	648432	408.0777777777778
91	653439	403.64835164835165
92	661685	399.2826086956522
93	666689	395.0430107526882
94	671697	390.8829787234043
95	676703	386.82105263157894
96	686901	382.8125
97	691906	378.9381443298969
98	696916	375.1020408163265
99	701921	371.34343434343435
100	715352	367.66
101	720357	364.05940594059405
102	725363	360.51960784313724
103	730368	357.06796116504853
104	745184	353.65384615384613
105	750189	350.32380952380953
106	755195	347.0377358490566
107	760200	343.8130841121495
108	771542	340.6574074074074
109	776547	337.57798165137615
110	781554	334.55454545454546
111	786561	331.65765765765764
112	794645	328.80357142857144
113	799659	325.92035398230087
114	804664	323.0964912280702
115	809671	320.3391304347826
116	818174	317.5948275862069
117	823178	314.9145299145299
118	828184	312.26271186440675
119	833188	309.66386554621846
120	838193	307.18333333333334
121	843905	304.6694214876033
122	848910	302.2049180327869
123	853916	299.7723577235772
124	858921	297.44354838709677
125	919343	295.08
126	924348	292.77777777777777
127	929355	290.496062992126
128	934360	288.2578125
129	939367	286.05426356589146
130	944373	283.87692307692305
131	949378	281.7328244274809
132	954384	279.6212121212121
133	959389	277.56390977443607
134	971018	275.5074626865672
135	976023	273.4888888888889
136	981028	271.5
137	986033	269.5620437956204
138	991041	267.6304347826087
139	998162	265.72661870503595
140	1003167	263.9142857142857
141	1008181	262.1843971631206
142	1013203	260.3732394366197
143	1018211	258.57342657342656
144	1026772	256.7986111111111
145	1031777	255.05517241379312
146	1036783	253.34246575342465
147	1041790	251.64625850340136
148	1046796	250.0608108108108
149	1054682	248.40268456375838
150	1059687	246.77333333333334
151	1064693	245.16556291390728
152	1069699	243.66447368421052
153	1074719	242.18954248366012
154	1082711	240.63636363636363
155	1087716	239.11612903225807
156	1092723	597.7820512820513
157	1233980	593.9872611464968
158	1238984	590.2405063291139
159	1243988	586.5534591194969
160	1248995	582.9
161	1253999	579.2981366459627
162	1259004	575.7469135802469
163	1264010	572.2331288343559
164	1269015	568.8353658536586
165	1280181	565.4121212121212
166	1285187	562.0240963855422
167	1290192	558.6826347305389
168	1295198	555.3809523809524
169	1304146	552.1065088757397
170	1309150	548.8705882352941
171	1314155	545.6959064327485
172	1319163	542.5755813953489
173	1329529	539.4508670520231
174	1334533	536.3505747126437
175	1339536	533.2914285714286
176	1344539	530.2840909090909
177	1411873	527.2937853107345
178	1416876	524.3595505617977
179	1421883	521.4525139664804
180	1426889	518.6166666666667
181	1504668	515.7734806629834
182	1509674	512.9615384615385
183	1514680	510.1857923497268
184	1519688	507.42391304347825
185	1587112	504.6918918918919
186	1592116	502.0268817204301
187	1597127	499.36898395721926
188	1602134	496.73936170212767
189	1666125	494.1375661375661
190	1671132	491.60526315789474
191	1676147	489.0471204188482
192	1681152	486.5208333333333
193	1748021	484.01554404145077
194	1753027	481.5927835051546
195	1758043	479.1384615384615
196	1825930	476.7040816326531
