Number of queries 	Duration since launch	Lock time
207	1967366	469.3623188405797
208	2037959	467.1105769230769
209	2042962	464.8899521531101
210	2047967	462.68095238095236
211	2052969	460.5308056872038
212	2123135	458.37264150943395
213	2128141	456.2206572769953
214	2133144	454.1261682242991
215	2209542	452.0232558139535
216	2214546	449.9490740740741
217	2219552	447.89400921658984
218	2294828	445.8440366972477
219	2299831	443.81278538812785
220	2304834	441.8090909090909
221	2380843	439.81447963800906
222	2385846	437.8378378378378
223	2390850	435.8834080717489
224	2475336	433.94642857142856
225	2480340	432.02666666666664
226	2485344	430.12389380530976
227	2566881	428.23348017621146
228	2571884	426.37280701754383
229	2576890	424.51528384279476
230	2652346	422.68695652173915
231	2657352	420.86147186147184
232	2662356	419.0603448275862
233	2740911	417.27896995708153
234	2745917	415.5
235	2838364	413.73617021276596
236	2843367	412.01271186440675
237	2931488	410.28691983122366
238	2936493	408.57563025210084
239	3024070	406.8702928870293
240	3029073	405.1791666666667
241	3120742	403.50622406639
242	3125747	401.8719008264463
