Number of queries 	Duration since launch	Lock time
1	5394	4.0
2	10628	4.5
3	15635	3.6666666666666665
4	20639	3.25
5	25959	3.2
6	30964	3.5
7	35971	3.5714285714285716
8	40978	3.75
9	45985	3.4444444444444446
10	50988	3.3
11	55992	117.72727272727273
12	62256	108.0
13	67260	99.6923076923077
14	72263	92.71428571428571
15	77267	86.66666666666667
16	93940	81.4375
17	98945	77.05882352941177
18	103955	74.22222222222223
19	108983	70.47368421052632
20	113989	67.0
21	118992	206.04761904761904
22	126981	196.8181818181818
23	131987	188.34782608695653
24	136991	180.58333333333334
25	141996	173.44
26	147000	166.80769230769232
27	164305	160.66666666666666
28	169308	155.07142857142858
29	174314	149.93103448275863
30	179322	145.2
31	184332	140.5483870967742
32	195304	136.21875
33	200308	132.24242424242425
34	205316	128.52941176470588
35	210324	125.02857142857142
36	215332	121.58333333333333
37	227231	119.10810810810811
38	232263	116.02631578947368
39	237268	113.1025641025641
40	242272	427.0
41	259943	416.6829268292683
42	288090	406.7857142857143
43	293094	397.3953488372093
44	298099	388.3636363636364
45	303101	379.75555555555553
46	311677	371.54347826086956
47	316681	363.6595744680851
48	321683	356.2083333333333
49	326690	349.0204081632653
50	338321	342.06
51	343324	335.45098039215685
52	348330	329.0576923076923
53	353335	322.9056603773585
54	367933	316.962962962963
55	372937	311.2181818181818
56	377940	305.73214285714283
57	382946	300.4035087719298
58	398467	295.2586206896552
59	403471	290.3050847457627
60	408475	285.51666666666665
61	413479	280.8688524590164
62	418482	276.38709677419354
63	427337	272.04761904761904
64	432342	267.859375
65	437348	263.7846153846154
66	442352	259.8484848484849
67	447357	256.2686567164179
68	480687	252.51470588235293
69	485691	248.91304347826087
70	490696	245.4142857142857
71	495701	242.0
72	500706	238.69444444444446
73	506592	235.45205479452054
74	511596	232.3918918918919
75	516607	229.33333333333334
76	521611	226.35526315789474
77	526615	223.5974025974026
78	537093	220.76923076923077
79	542098	218.0379746835443
80	547104	551.5
81	579000	544.7530864197531
82	586424	538.170731707317
83	591431	531.7349397590361
84	596437	525.547619047619
85	601450	519.435294117647
86	606458	513.4302325581396
87	648451	507.5402298850575
88	653455	501.79545454545456
89	658459	496.2134831460674
90	663465	490.77777777777777
91	669808	485.3956043956044
92	674811	480.1521739130435
93	679815	475.0537634408602
94	684822	470.031914893617
95	693984	465.10526315789474
96	698988	460.2916666666667
97	703993	455.58762886597935
98	708999	450.94897959183675
99	719158	446.42424242424244
100	724163	442.02
101	729170	437.7029702970297
102	734178	433.44117647058823
103	745063	429.252427184466
104	750067	425.21153846153845
105	755078	421.1904761904762
106	760082	417.24528301886795
107	770673	413.3738317757009
108	775678	409.5833333333333
109	780684	405.8440366972477
110	785688	402.1818181818182
111	790693	398.6126126126126
112	797131	395.07142857142856
113	802136	391.5929203539823
114	807140	388.1842105263158
115	812144	384.8434782608696
116	817149	381.5431034482759
117	824336	378.2991452991453
118	829340	375.14406779661016
119	834347	372.01680672268907
120	839351	368.93333333333334
121	844355	365.90909090909093
122	850817	362.9672131147541
123	855827	360.0406504065041
124	860832	357.16129032258067
125	865836	354.376
126	870846	351.57936507936506
127	879511	348.8267716535433
128	884515	346.1171875
129	889519	343.4573643410853
130	894523	340.84615384615387
131	899528	338.25954198473283
132	968090	335.70454545454544
133	973093	333.203007518797
134	978097	330.74626865671644
135	983102	328.3407407407407
136	988110	325.99264705882354
137	995359	323.62773722627736
138	1000363	321.3188405797101
139	1005369	319.021582733813
140	1010372	316.9
141	1015395	314.6666666666667
142	1024877	312.4577464788732
143	1029880	310.2937062937063
144	1034884	308.1458333333333
145	1039887	306.0689655172414
146	1044895	304.0
147	1056477	301.9387755102041
148	1061480	299.93243243243245
149	1066486	297.93959731543623
150	1071490	296.0
151	1076498	294.05960264900665
152	1087630	292.13157894736844
153	1092633	290.2483660130719
154	1097639	288.38961038961037
155	1102645	286.5741935483871
156	1107654	284.7692307692308
157	1112661	282.9808917197452
158	1120383	281.2025316455696
159	1125387	627.7610062893082
160	1185772	623.8625
161	1190778	620.0310559006211
162	1279801	616.2098765432099
163	1284804	612.4417177914111
164	1289807	608.7134146341464
165	1294810	605.030303030303
166	1299813	601.4096385542168
167	1308151	597.8263473053893
168	1313156	594.2857142857143
169	1318160	590.7751479289941
170	1323163	587.3117647058823
171	1328166	583.8947368421053
172	1341090	580.5058139534884
173	1346093	577.1618497109827
174	1351096	573.8563218390805
175	1356100	570.5942857142857
176	1361105	567.375
177	1377094	564.1751412429378
178	1382097	561.0168539325842
179	1387101	557.8938547486033
180	1392105	554.8333333333334
181	1397114	551.8121546961326
182	1473264	548.7912087912088
183	1478268	545.8087431693989
184	1483272	542.8532608695652
185	1488275	539.9513513513514
186	1493282	537.0698924731183
187	1568038	534.2032085561498
188	1573041	531.3829787234042
189	1578047	528.5925925925926
190	1583052	525.8263157894737
191	1588056	523.0942408376964
192	1654316	520.375
193	1659319	517.6839378238342
194	1664321	515.0257731958762
195	1669324	512.3948717948718
196	1674327	509.80102040816325
197	1740634	507.2284263959391
198	1745640	504.67676767676767
199	1750643	502.1708542713568
