Number of queries 	Duration since launch	Lock time
1	5390	7.0
2	10626	13.0
3	15647	9.0
4	20651	9.25
5	26120	9.2
6	31131	8.5
7	36138	7.428571428571429
8	41535	7.75
9	46548	7.444444444444445
10	51555	7.1
11	56562	41.09090909090909
12	61945	37.75
13	66948	35.23076923076923
14	71956	32.857142857142854
15	76960	30.733333333333334
16	81966	29.0625
17	86973	27.58823529411765
18	91979	26.333333333333332
19	96987	25.894736842105264
20	102008	24.95
21	107018	220.71428571428572
22	130435	210.72727272727272
23	135438	201.69565217391303
24	140442	193.41666666666666
25	145447	185.76
26	150452	178.65384615384616
27	169319	172.11111111111111
28	174323	166.03571428571428
29	179326	160.68965517241378
30	184338	155.53333333333333
31	189346	150.6451612903226
32	196270	146.0
33	201275	141.75757575757575
34	206283	137.61764705882354
35	211287	133.71428571428572
36	216290	130.05555555555554
37	228104	126.5945945945946
38	233108	123.71052631578948
39	238126	120.71794871794872
40	243135	442.75
41	261139	432.0975609756098
42	266900	421.85714285714283
43	271904	412.1860465116279
44	276911	402.84090909090907
45	281914	394.22222222222223
46	288151	385.7826086956522
47	293159	377.8723404255319
48	298174	370.0208333333333
49	303176	362.51020408163265
50	309687	355.38
51	314695	348.5098039215686
52	319702	342.09615384615387
53	324718	335.6981132075472
54	329723	329.6666666666667
55	334735	323.9818181818182
56	339753	318.3392857142857
57	344762	312.7894736842105
58	349766	307.58620689655174
59	354779	302.47457627118644
60	359786	297.6
61	398260	292.75409836065575
62	403264	288.06451612903226
63	408268	283.57142857142856
64	419229	279.15625
65	424232	274.89230769230767
66	429236	270.77272727272725
67	444719	266.76119402985074
68	449723	262.86764705882354
69	454727	259.0869565217391
70	471196	255.4
71	476199	251.94366197183098
72	481210	248.48611111111111
73	496889	245.1095890410959
74	501894	241.82432432432432
75	506898	238.65333333333334
76	521696	235.52631578947367
77	526699	232.54545454545453
78	531706	229.5897435897436
79	546093	226.69620253164558
80	551096	223.9125
81	556101	525.358024691358
82	629364	518.9756097560976
83	634368	512.7469879518072
84	639371	506.6666666666667
85	649528	500.7294117647059
86	654532	494.95348837209303
87	659537	489.2988505747126
88	666583	483.7613636363636
89	671587	478.34831460674155
90	676590	473.0444444444444
91	684146	467.85714285714283
92	689149	462.7826086956522
93	694152	457.80645161290323
94	701397	452.97872340425533
95	706404	448.22105263157897
96	711406	443.5729166666667
97	719057	439.02061855670104
98	724061	434.5612244897959
99	729064	430.1818181818182
100	737299	425.9
101	742303	421.6930693069307
102	747305	417.5882352941176
103	755048	413.54368932038835
104	760051	409.5769230769231
105	765053	405.6952380952381
106	809754	401.87735849056605
107	814757	398.13084112149534
108	819760	394.4537037037037
109	824763	390.8440366972477
110	829767	387.3090909090909
111	834771	383.8378378378378
112	839775	380.4375
113	846722	377.08849557522126
114	851726	373.7894736842105
115	856730	370.55652173913046
116	861734	367.37931034482756
117	871392	364.2564102564103
118	876397	361.228813559322
119	881407	358.20168067226894
120	886411	355.23333333333335
121	895904	352.3719008264463
122	900915	349.4918032786885
123	905918	346.6747967479675
124	910923	343.88709677419354
125	918795	341.152
126	923799	338.46031746031747
127	928803	335.8031496062992
128	933806	333.1953125
129	943132	330.6279069767442
130	948136	328.1
131	953140	325.60305343511453
132	958143	323.1515151515151
133	968372	320.7293233082707
134	973375	318.3731343283582
135	978382	316.0888888888889
136	983394	313.79411764705884
137	993784	311.51824817518246
138	998788	309.2826086956522
139	1003793	307.0647482014389
140	1008796	304.8857142857143
141	1013800	302.7304964539007
142	1020793	300.6056338028169
143	1025796	298.5174825174825
144	1030800	296.46527777777777
145	1035806	294.42758620689654
146	1040809	292.43150684931504
147	1103631	290.4557823129252
148	1108635	288.52702702702703
149	1113642	286.61744966442956
150	1118648	284.73333333333335
151	1123654	282.8675496688742
152	1129703	281.01973684210526
153	1134707	279.202614379085
154	1139712	277.4025974025974
155	1144717	275.61290322580646
156	1149720	273.8525641025641
157	1157794	272.11464968152865
158	1162798	270.40506329113924
159	1167803	627.3836477987421
160	1303779	623.46875
161	1308782	619.6149068322982
162	1313787	615.7962962962963
163	1318791	612.036809815951
164	1323796	608.3231707317074
165	1328801	604.660606060606
166	1333807	601.0301204819277
167	1338812	597.4610778443114
168	1348773	593.922619047619
169	1353778	590.4142011834319
170	1358781	586.9705882352941
171	1363789	583.578947368421
172	1371894	580.1976744186046
173	1376899	576.8554913294797
174	1381903	573.5459770114943
175	1386906	570.3257142857143
176	1396657	567.0909090909091
177	1401660	563.909604519774
178	1406666	560.7584269662922
179	1411671	557.6312849162011
180	1425288	554.5388888888889
181	1430291	551.4806629834254
182	1435294	548.478021978022
183	1440301	545.4972677595629
184	1452860	542.5380434782609
185	1457863	539.6162162162162
186	1462867	536.7258064516129
187	1467871	533.8609625668449
188	1540090	531.0265957446809
189	1545093	528.2539682539683
190	1550102	525.4842105263158
191	1555106	522.7434554973822
192	1650722	520.0364583333334
193	1655727	517.3575129533679
194	1660732	514.7010309278351
195	1665736	512.0717948717949
196	1731578	509.4642857142857
197	1736581	506.88324873096445
198	1741585	504.3333333333333
199	1809326	501.8140703517588
200	1814331	499.315
201	1819335	496.8358208955224
202	1887894	494.3811881188119
203	1892897	491.9605911330049
204	1897902	489.55882352941177
205	1966022	487.18048780487806
206	1971026	484.8252427184466
207	1976031	482.512077294686
208	2044755	480.2019230769231
209	2049759	477.9138755980861
210	2054763	475.64761904761906
211	2121565	473.4028436018957
212	2126569	471.1792452830189
213	2131573	469.0422535211268
