Number of queries 	Duration since launch	Lock time
1	5394	11.0
2	10640	9.5
3	15788	14.333333333333334
4	20815	14.25
5	25831	17.2
6	30863	15.166666666666666
7	35870	16.428571428571427
8	40896	16.25
9	45913	15.222222222222221
10	50922	318.0
11	58968	290.6363636363636
12	63987	267.3333333333333
13	69001	247.30769230769232
14	75263	230.71428571428572
15	80280	216.33333333333334
16	85300	203.125
17	90307	191.94117647058823
18	95323	181.77777777777777
19	112076	173.78947368421052
20	117108	305.7
21	124922	292.57142857142856
22	129954	280.1818181818182
23	134977	268.5652173913044
24	142156	257.625
25	147164	248.12
26	152187	238.84615384615384
27	157196	230.55555555555554
28	162213	222.85714285714286
29	183014	215.44827586206895
30	188024	209.2
31	193054	203.29032258064515
32	198083	197.5
33	203103	192.42424242424244
34	210436	187.6764705882353
35	215469	182.71428571428572
36	220485	178.72222222222223
37	225527	174.24324324324326
38	230542	606.1578947368421
39	252131	590.8461538461538
40	257142	576.325
41	262155	563.0975609756098
42	291861	549.7857142857143
43	296867	537.4651162790698
44	301889	525.8863636363636
45	306919	514.5111111111111
46	316313	503.5
47	321323	492.97872340425533
48	326334	483.3333333333333
49	331366	473.9591836734694
50	343444	464.86
51	348465	456.2549019607843
52	353493	447.61538461538464
53	358503	439.39622641509436
54	373102	431.4259259259259
55	378114	423.9818181818182
56	383138	416.7857142857143
57	388161	409.859649122807
58	405148	403.01724137931035
59	410163	396.49152542372883
60	415183	390.06666666666666
61	420197	383.9016393442623
62	436683	377.88709677419354
63	441696	372.06349206349205
64	446709	366.59375
65	451734	361.4153846153846
66	491236	356.1363636363636
67	496251	351.1940298507463
68	501279	346.5735294117647
69	506318	341.9130434782609
70	511481	337.12857142857143
71	516490	332.7042253521127
72	521515	328.31944444444446
73	526534	324.05479452054794
74	531554	708.9864864864865
75	565365	699.8666666666667
76	570392	691.0
77	579011	682.2987012987013
78	584034	673.8076923076923
79	589056	665.4810126582279
80	594074	657.3375
81	637893	649.320987654321
82	642903	641.5121951219512
83	647914	633.9156626506024
84	652927	626.547619047619
85	659822	619.3058823529411
86	664835	612.2209302325581
87	669847	605.3333333333334
88	674862	598.5681818181819
89	685250	591.8876404494382
90	690256	585.4888888888889
91	695274	579.3846153846154
92	700307	573.2391304347826
93	714493	567.1182795698925
94	719500	561.2234042553191
95	724515	555.5368421052632
96	729538	550.1354166666666
97	746374	544.5051546391752
98	751380	539.1020408163265
99	756398	534.010101010101
100	761435	528.89
101	772744	523.7326732673267
102	777754	518.6960784313726
103	782766	513.8737864077669
104	787790	509.1730769230769
105	801482	504.37142857142857
106	806489	500.02830188679246
107	811535	495.5514018691589
108	816559	491.1574074074074
109	829093	486.7155963302752
110	834102	482.6727272727273
111	839146	478.4594594594595
112	844164	474.36607142857144
113	849186	558.2212389380531
114	864138	553.4824561403509
115	869158	548.9739130434782
116	874195	544.4568965517242
117	887818	539.8717948717949
118	892828	535.3813559322034
119	897840	531.453781512605
120	902910	527.2083333333334
121	907934	523.1074380165289
122	960937	518.9180327868852
123	965951	514.9674796747968
124	970986	511.0
125	976011	507.048
126	981030	503.1507936507937
127	987117	499.2755905511811
128	992130	495.484375
129	997147	491.7751937984496
130	1002166	488.3076923076923
131	1007209	484.8625954198473
132	1017934	481.3333333333333
133	1022955	477.7894736842105
