Number of queries 	Duration since launch	Lock time
1	5392	6.0
2	10634	23.5
3	15678	17.0
4	20684	18.75
5	25711	21.0
6	30743	18.333333333333332
7	35750	16.285714285714285
8	40756	15.625
9	45769	17.666666666666668
10	50806	18.1
11	55830	50.45454545454545
12	61206	49.5
13	66248	46.0
14	71254	43.285714285714285
15	76264	40.86666666666667
16	81276	39.8125
17	86302	40.11764705882353
18	91349	39.111111111111114
19	96374	37.94736842105263
20	115925	36.3
21	120933	186.0
22	129115	178.6818181818182
23	134142	171.17391304347825
24	139150	164.91666666666666
25	146116	158.48
26	151122	153.53846153846155
27	156154	148.8148148148148
28	161182	143.67857142857142
29	166189	139.55172413793105
30	186550	135.1
31	191558	131.70967741935485
32	196589	128.65625
33	201625	126.87878787878788
34	206697	124.1470588235294
35	215518	120.94285714285714
36	220532	118.11111111111111
37	225554	115.10810810810811
38	230563	112.8157894736842
39	235593	553.8205128205128
40	257907	540.25
41	262921	527.5121951219512
42	267941	515.547619047619
43	298434	503.6744186046512
44	303441	492.72727272727275
45	308465	482.3333333333333
46	313492	472.30434782608694
47	318515	463.1276595744681
48	324661	454.0625
49	329691	445.44897959183675
50	334725	437.22
51	339761	429.3333333333333
52	344798	421.46153846153845
53	353045	413.8490566037736
54	358065	407.1111111111111
55	363117	400.05454545454546
56	368139	393.5
57	373174	387.12280701754383
58	384729	380.51724137931035
59	389736	374.6779661016949
60	394774	368.8333333333333
61	399800	363.0983606557377
62	418282	357.53225806451616
63	423302	352.26984126984127
64	428330	346.984375
65	433346	342.03076923076924
66	448079	336.93939393939394
67	453088	332.05970149253733
68	458100	327.30882352941177
69	463111	323.0
70	500523	318.48571428571427
71	505533	314.40845070422534
72	510564	310.5833333333333
73	515605	306.7671232876712
74	522222	302.86486486486484
75	527242	299.0933333333333
76	532265	295.38157894736844
77	537284	291.97402597402595
