Number of queries 	Duration since launch	Lock time
1	5393	9.0
2	10639	24.5
3	15681	18.0
4	20689	16.25
5	25702	16.8
6	30723	18.833333333333332
7	35754	16.714285714285715
8	40760	17.0
9	45781	16.22222222222222
10	50793	19.7
11	55846	20.727272727272727
12	60879	19.333333333333332
13	65886	18.0
14	70890	16.928571428571427
15	75895	16.0
16	89397	15.125
17	94401	15.588235294117647
18	99426	15.222222222222221
19	104437	15.894736842105264
20	109467	16.7
21	114501	144.57142857142858
22	122205	139.0
23	127229	134.47826086956522
24	132266	129.45833333333334
25	137283	124.84
26	156999	120.23076923076923
27	162006	116.5925925925926
28	167030	113.39285714285714
29	172060	110.17241379310344
30	177083	107.63333333333334
31	185040	105.70967741935483
32	190091	102.84375
33	195107	101.06060606060606
34	200154	99.29411764705883
35	205197	96.97142857142858
36	216563	95.05555555555556
37	221593	92.75675675675676
38	226605	90.76315789473684
39	231624	88.61538461538461
40	236633	310.125
41	250584	302.7317073170732
42	275515	295.64285714285717
43	280522	289.06976744186045
44	285537	282.54545454545456
45	290541	276.4222222222222
46	295550	270.6304347826087
47	300562	265.29787234042556
48	305585	260.0208333333333
49	310599	254.91836734693877
50	317491	250.0
51	322503	245.33333333333334
52	327517	240.94230769230768
53	332536	236.47169811320754
54	344336	232.2037037037037
55	349344	228.47272727272727
56	354374	225.05357142857142
57	359413	221.28070175438597
58	373524	217.60344827586206
59	378534	214.0677966101695
60	383546	210.78333333333333
61	388566	207.54098360655738
62	401248	204.33870967741936
63	406259	201.23809523809524
64	411271	198.21875
65	416281	195.27692307692308
66	449895	192.5
67	454909	189.8507462686567
68	459926	187.1764705882353
69	464936	184.84057971014494
70	472258	182.54285714285714
71	477284	180.29577464788733
72	482309	178.05555555555554
73	487330	175.76712328767124
74	497586	173.52702702702703
75	502598	171.25333333333333
76	507604	169.06578947368422
77	512611	491.75324675324674
78	544922	485.64102564102564
79	549939	479.6455696202532
80	554953	473.7875
81	559967	467.9753086419753
82	604764	462.4024390243902
83	609777	457.10843373493975
84	614802	451.9761904761905
85	619830	446.7529411764706
86	624841	441.72093023255815
87	629857	436.6666666666667
88	634861	431.9431818181818
89	639884	427.2134831460674
90	645572	422.6777777777778
91	650594	418.0989010989011
92	655602	413.6630434782609
93	660614	409.35483870967744
94	670730	405.13829787234044
95	675745	400.9789473684211
96	680758	396.9270833333333
97	685773	393.10309278350513
98	695957	389.16326530612247
99	700967	385.3131313131313
100	705977	381.57
101	710990	378.1188118811881
102	720586	374.46078431372547
103	725593	370.9514563106796
104	730609	367.6826923076923
105	735642	364.26666666666665
106	744097	360.95283018867923
107	749113	357.74766355140184
108	754133	354.4537037037037
109	759137	351.302752293578
110	769499	348.1545454545454
111	774506	345.27027027027026
112	779536	342.42857142857144
113	784565	339.78761061946904
114	795163	336.87719298245617
115	800173	334.0695652173913
