Number of queries 	Duration since launch	Lock time
1	5391	10.0
2	10678	13.5
3	15698	10.0
4	20703	12.0
5	25723	17.6
6	30765	15.166666666666666
7	35770	13.428571428571429
8	40775	14.25
9	45797	15.11111111111111
10	50822	16.9
11	55857	16.363636363636363
12	60870	15.5
13	65878	14.538461538461538
14	70883	13.785714285714286
15	75890	13.2
16	88286	12.8125
17	93295	13.529411764705882
18	98322	13.11111111111111
19	103331	13.210526315789474
20	108348	13.5
21	113370	148.14285714285714
22	121213	142.54545454545453
23	126241	137.30434782608697
24	131265	132.0
25	136278	127.6
26	155681	122.76923076923077
27	160686	119.44444444444444
28	165721	115.85714285714286
29	170742	112.86206896551724
30	175773	109.96666666666667
31	183443	106.7741935483871
32	188456	103.90625
33	193473	101.18181818181819
34	198490	98.97058823529412
35	203518	97.2
36	215818	94.80555555555556
37	220831	92.45945945945945
38	225841	90.60526315789474
39	230866	88.61538461538461
40	235881	309.475
41	249805	302.2439024390244
42	274921	295.1190476190476
43	279926	288.74418604651163
44	284949	282.25
45	289954	276.1777777777778
46	294965	270.2173913043478
47	299969	264.70212765957444
48	304982	259.2916666666667
49	309989	254.22448979591837
50	317410	249.26
51	322418	244.7058823529412
52	327437	240.1346153846154
53	332446	235.8679245283019
54	343243	231.64814814814815
55	348253	227.63636363636363
56	353266	224.03571428571428
57	358294	220.5438596491228
58	371609	217.06896551724137
59	376630	213.4406779661017
60	381635	210.21666666666667
61	386657	206.86885245901638
62	400334	203.88709677419354
63	405358	200.93650793650792
64	410378	198.078125
65	415398	195.2923076923077
66	449970	192.63636363636363
67	454992	189.92537313432837
68	460005	187.2058823529412
69	465012	184.66666666666666
70	471452	182.14285714285714
71	476462	179.85915492957747
72	481485	177.76388888888889
73	486516	175.4931506849315
74	496434	173.1891891891892
75	501441	171.49333333333334
76	506489	169.8421052631579
77	511537	167.87012987012986
78	516557	515.2307692307693
79	548821	508.88607594936707
80	553838	502.7
81	558854	496.65432098765433
82	601521	490.6341463414634
83	606526	484.7831325301205
84	611533	479.1666666666667
85	616548	473.7529411764706
86	623091	468.33720930232556
87	628101	463.02298850574715
88	633109	457.78409090909093
89	638113	452.70786516853934
90	646269	447.8777777777778
91	651289	443.31868131868134
92	656325	438.5108695652174
93	661329	433.9139784946237
94	672784	429.3404255319149
95	677790	424.9578947368421
96	682805	420.8020833333333
97	687833	416.62886597938143
98	699858	412.4795918367347
99	704870	408.44444444444446
100	709885	404.62
101	714913	400.71287128712873
102	724743	396.84313725490193
103	729751	393.2330097087379
104	734778	389.50961538461536
105	739786	385.84761904761905
106	749422	382.25471698113205
107	754429	378.9906542056075
108	759464	375.5833333333333
109	764477	372.1926605504587
110	769485	368.8454545454546
111	774778	365.7477477477477
112	779806	362.58035714285717
113	784820	359.43362831858406
114	789829	356.3070175438597
115	794834	353.6695652173913
116	800255	350.8448275862069
117	805283	347.97435897435895
118	810300	345.1864406779661
119	815321	342.4033613445378
120	820338	339.73333333333335
121	868214	337.0413223140496
122	873230	334.38524590163934
123	878245	331.8780487804878
124	883273	329.4758064516129
125	888309	327.024
126	893334	324.4761904761905
127	898342	321.99212598425197
128	903354	319.609375
129	908373	317.15503875968994
130	913378	314.7846153846154
131	920888	312.39694656488547
132	925892	310.1136363636364
133	930906	307.9172932330827
134	935926	305.74626865671644
135	940945	303.77037037037036
136	947821	301.5735294117647
137	952828	299.42335766423355
138	957837	297.5289855072464
139	962877	295.63309352517985
140	967913	293.62142857142857
141	976056	291.8156028368794
142	981098	289.90845070422534
143	986121	288.1188811188811
144	991157	286.34027777777777
145	996191	284.41379310344826
146	1005503	282.52054794520546
147	1010513	280.80272108843536
148	1015545	279.0
149	1020561	277.1677852348993
150	1025569	275.46666666666664
151	1035280	273.89403973509934
152	1040320	272.23026315789474
153	1045344	270.562091503268
154	1050363	638.5974025974026
